word,definition,class,tags
friend,Someone you like to spend time with and have fun together.,Noun,people
school,A place where you go to learn new things and play with friends.,Noun,place
put,To place something in a specific location.,Verb,
love,A strong feeling of caring and kindness towards someone or something.,Noun,feelings
push,To use force to move something away from you.,Verb,actions
pull,To use force to bring something closer to you.,Verb,actions
full,When something is filled up completely.,Adjective,
house,A building where people live.,Noun,places
door,A piece of wood or metal that opens and closes to let people in or out of a room or building.,Noun,things
find,To discover something that was hidden or lost.,Verb,actions
mind,Your thoughts and feelings.,Noun,
floor,The flat surface of a room that you walk on.,Noun,
kind,Being nice and friendly to others.,Adjective,
behind,At the back of something.,Preposition,
whole,"All of something, not just part of it.",Adjective,
any,"One or more of a thing, without caring which one.",Adjective,
child,A young person who is not yet an adult.,Noun,
wild,When something is not tame or domesticated.,Adjective,
climb,To move upwards using your hands and feet.,Verb,
only,"Just one, not more than that.",Adjective,
old,Something that has been around for a long time.,Adjective,
many,A large number of something.,Adjective,
clothes,"The things you wear on your body like shirts, pants, and socks.",Noun,"things, in the house"
cold,When something doesn't have heat and feels chilly.,Adjective,feelings
gold,A shiny yellow metal that is very valuable.,Noun,
hold,To grip something tightly with your hands.,Verb,actions
told,When someone has shared information with you.,Verb,actions
every,Each and every one of something.,Adjective,
great,Something that is really good or impressive.,Adjective,
break,To separate something into smaller pieces.,Verb,actions
steak,A delicious piece of meat that you cook and eat.,Noun,"food, in the house"
busy,When there's a lot of things to do and not much free time.,Adjective,
people,Groups of humans.,Noun,people
pretty,Something that looks nice or beautiful.,Adjective,
beautiful,Something that is very nice to look at.,Adjective,
after,When something happens later or following something else.,Preposition,time 
fast,Moving or doing something quickly.,Adjective,
last,The final one in a sequence of events.,Adjective,
past,Something that has already happened.,Adjective,time
father,A male parent.,Noun,people
water,A clear liquid that we need to drink to stay alive.,Noun,food
again,"One more time, or another instance of something.",Adverb,
grass,Green plants that grow in fields and lawns.,Noun,things
pass,To move past something or someone.,Verb,actions
plant,"A living thing that grows in the ground and usually has leaves, stems, and roots.",Noun,things
path,A narrow way for walking.,Noun,"things, on the street"
